=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN                                      --
├─Sequential: 1-1                        --
│    └─Conv2d: 2-1                       1,792
│    └─GroupNorm: 2-2                    128
│    └─ReLU: 2-3                         --
│    └─Conv2d: 2-4                       36,928
│    └─GroupNorm: 2-5                    128
│    └─ReLU: 2-6                         --
│    └─MaxPool2d: 2-7                    --
│    └─Conv2d: 2-8                       73,856
│    └─GroupNorm: 2-9                    256
│    └─ReLU: 2-10                        --
│    └─Conv2d: 2-11                      147,584
│    └─GroupNorm: 2-12                   256
│    └─ReLU: 2-13                        --
│    └─MaxPool2d: 2-14                   --
│    └─Conv2d: 2-15                      295,168
│    └─GroupNorm: 2-16                   512
│    └─ReLU: 2-17                        --
│    └─Conv2d: 2-18                      590,080
│    └─GroupNorm: 2-19                   512
│    └─ReLU: 2-20                        --
│    └─Conv2d: 2-21                      590,080
│    └─GroupNorm: 2-22                   512
│    └─ReLU: 2-23                        --
│    └─MaxPool2d: 2-24                   --
│    └─Conv2d: 2-25                      1,180,160
│    └─GroupNorm: 2-26                   1,024
│    └─ReLU: 2-27                        --
│    └─Conv2d: 2-28                      2,359,808
│    └─GroupNorm: 2-29                   1,024
│    └─ReLU: 2-30                        --
│    └─Conv2d: 2-31                      2,359,808
│    └─GroupNorm: 2-32                   1,024
│    └─ReLU: 2-33                        --
│    └─MaxPool2d: 2-34                   --
├─Sequential: 1-2                        --
│    └─Linear: 2-35                      8,392,704
│    └─ReLU: 2-36                        --
│    └─Dropout: 2-37                     --
│    └─Linear: 2-38                      16,781,312
│    └─ReLU: 2-39                        --
│    └─Dropout: 2-40                     --
│    └─Linear: 2-41                      4,097,000
│    └─ReLU: 2-42                        --
│    └─Dropout: 2-43                     --
│    └─Linear: 2-44                      14,014
=================================================================
Total params: 36,925,670
Trainable params: 36,925,670
Non-trainable params: 0
=================================================================
TRAINING - Epoch 0 Batch 0: loss 0.04925793036818504, f1 0.121,  prec 0.071, rec 0.418
TRAINING - Epoch 61 Batch 10: loss 0.028028033673763275, f1 0.3,  prec 0.675, rec 0.193
TRAINING - Epoch 61 Batch 20: loss 0.02774803340435028, f1 0.423,  prec 0.447, rec 0.402
TRAINING - Epoch 61 Batch 30: loss 0.025920908898115158, f1 0.226,  prec 0.61, rec 0.138
TRAINING - Epoch 61 Batch 40: loss 0.025757603347301483, f1 0.331,  prec 0.636, rec 0.224
TRAINING - Epoch 61 Batch 50: loss 0.025614997372031212, f1 0.143,  prec 0.576, rec 0.082
VALIDATION - Epoch 61 Batch 0: loss 0.02434203214943409, f1 0.22, prec 0.857, rec 0.126
VALIDATION - Epoch 61 Batch 10: loss 0.026879344135522842, f1 0.179, prec 0.75, rec 0.102
VALIDATION - Epoch 61 Batch 20: loss 0.025828856974840164, f1 0.227, prec 0.829, rec 0.132
TRAINING - Epoch 62 Batch 0: loss 0.025113414973020554, f1 0.208,  prec 0.857, rec 0.118
TRAINING - Epoch 62 Batch 10: loss 0.023567775264382362, f1 0.256,  prec 0.829, rec 0.151
TRAINING - Epoch 62 Batch 20: loss 0.025199661031365395, f1 0.331,  prec 0.659, rec 0.221
TRAINING - Epoch 62 Batch 30: loss 0.024898823350667953, f1 0.344,  prec 0.594, rec 0.242
TRAINING - Epoch 62 Batch 40: loss 0.02597692236304283, f1 0.343,  prec 0.7, rec 0.227
TRAINING - Epoch 62 Batch 50: loss 0.024435121566057205, f1 0.385,  prec 0.824, rec 0.251
VALIDATION - Epoch 62 Batch 0: loss 0.02099785953760147, f1 0.28, prec 0.542, rec 0.188
VALIDATION - Epoch 62 Batch 10: loss 0.026275554671883583, f1 0.315, prec 0.609, rec 0.212
VALIDATION - Epoch 62 Batch 20: loss 0.024275418370962143, f1 0.427, prec 0.757, rec 0.298
TRAINING - Epoch 63 Batch 0: loss 0.025586949661374092, f1 0.379,  prec 0.676, rec 0.263
TRAINING - Epoch 63 Batch 10: loss 0.02535324916243553, f1 0.315,  prec 0.773, rec 0.198
TRAINING - Epoch 63 Batch 20: loss 0.02483549900352955, f1 0.337,  prec 0.641, rec 0.229
TRAINING - Epoch 63 Batch 30: loss 0.024573544040322304, f1 0.335,  prec 0.675, rec 0.223
TRAINING - Epoch 63 Batch 40: loss 0.02700807899236679, f1 0.321,  prec 0.725, rec 0.206
TRAINING - Epoch 63 Batch 50: loss 0.026413794606924057, f1 0.333,  prec 0.833, rec 0.208
VALIDATION - Epoch 63 Batch 0: loss 0.024731045588850975, f1 0.374, prec 0.683, rec 0.257
VALIDATION - Epoch 63 Batch 10: loss 0.026882540434598923, f1 0.299, prec 0.641, rec 0.195
VALIDATION - Epoch 63 Batch 20: loss 0.02566809393465519, f1 0.315, prec 0.609, rec 0.213
TRAINING - Epoch 64 Batch 0: loss 0.026801984757184982, f1 0.296,  prec 0.632, rec 0.194
TRAINING - Epoch 64 Batch 10: loss 0.022292351350188255, f1 0.318,  prec 0.681, rec 0.207
TRAINING - Epoch 64 Batch 20: loss 0.027599940076470375, f1 0.158,  prec 0.923, rec 0.087
TRAINING - Epoch 64 Batch 30: loss 0.027301549911499023, f1 0.392,  prec 0.567, rec 0.3
TRAINING - Epoch 64 Batch 40: loss 0.026233544573187828, f1 0.151,  prec 0.759, rec 0.084
TRAINING - Epoch 64 Batch 50: loss 0.02493545599281788, f1 0.36,  prec 0.643, rec 0.25
VALIDATION - Epoch 64 Batch 0: loss 0.026142636314034462, f1 0.281, prec 0.657, rec 0.179
VALIDATION - Epoch 64 Batch 10: loss 0.02641036920249462, f1 0.313, prec 0.758, rec 0.198
VALIDATION - Epoch 64 Batch 20: loss 0.026174848899245262, f1 0.317, prec 0.806, rec 0.197
TRAINING - Epoch 65 Batch 0: loss 0.025631079450249672, f1 0.283,  prec 0.719, rec 0.176
TRAINING - Epoch 65 Batch 10: loss 0.02364441007375717, f1 0.269,  prec 0.714, rec 0.166
TRAINING - Epoch 65 Batch 20: loss 0.027090469375252724, f1 0.419,  prec 0.655, rec 0.308
TRAINING - Epoch 65 Batch 30: loss 0.02378315106034279, f1 0.279,  prec 0.651, rec 0.177
TRAINING - Epoch 65 Batch 40: loss 0.026040416210889816, f1 0.406,  prec 0.574, rec 0.314
TRAINING - Epoch 65 Batch 50: loss 0.024738479405641556, f1 0.243,  prec 0.654, rec 0.149
VALIDATION - Epoch 65 Batch 0: loss 0.02605428174138069, f1 0.224, prec 0.875, rec 0.129
VALIDATION - Epoch 65 Batch 10: loss 0.02828156389296055, f1 0.212, prec 0.778, rec 0.123
VALIDATION - Epoch 65 Batch 20: loss 0.024438239634037018, f1 0.178, prec 0.923, rec 0.099
TRAINING - Epoch 66 Batch 0: loss 0.029353952035307884, f1 0.234,  prec 0.812, rec 0.137
TRAINING - Epoch 66 Batch 10: loss 0.027090763673186302, f1 0.398,  prec 0.618, rec 0.293
TRAINING - Epoch 66 Batch 20: loss 0.02094964310526848, f1 0.1,  prec 0.688, rec 0.054
TRAINING - Epoch 66 Batch 30: loss 0.024584384635090828, f1 0.09,  prec 1.0, rec 0.047
TRAINING - Epoch 66 Batch 40: loss 0.025411373004317284, f1 0.378,  prec 0.567, rec 0.283
TRAINING - Epoch 66 Batch 50: loss 0.024089265614748, f1 0.241,  prec 0.547, rec 0.154
VALIDATION - Epoch 66 Batch 0: loss 0.027022644877433777, f1 0.316, prec 0.763, rec 0.199
VALIDATION - Epoch 66 Batch 10: loss 0.02424546331167221, f1 0.261, prec 0.685, rec 0.162
VALIDATION - Epoch 66 Batch 20: loss 0.027496691793203354, f1 0.324, prec 0.724, rec 0.209
TRAINING - Epoch 67 Batch 0: loss 0.02503545954823494, f1 0.382,  prec 0.673, rec 0.267
TRAINING - Epoch 67 Batch 10: loss 0.024737482890486717, f1 0.246,  prec 0.8, rec 0.145
TRAINING - Epoch 67 Batch 20: loss 0.027110343798995018, f1 0.404,  prec 0.503, rec 0.337
TRAINING - Epoch 67 Batch 30: loss 0.024231083691120148, f1 0.331,  prec 0.811, rec 0.208
TRAINING - Epoch 67 Batch 40: loss 0.02700665220618248, f1 0.411,  prec 0.564, rec 0.323
TRAINING - Epoch 67 Batch 50: loss 0.02435574121773243, f1 0.237,  prec 0.642, rec 0.145
VALIDATION - Epoch 67 Batch 0: loss 0.026097459718585014, f1 0.409, prec 0.535, rec 0.331
VALIDATION - Epoch 67 Batch 10: loss 0.025872590020298958, f1 0.47, prec 0.626, rec 0.377
VALIDATION - Epoch 67 Batch 20: loss 0.025801541283726692, f1 0.456, prec 0.678, rec 0.344
TRAINING - Epoch 68 Batch 0: loss 0.02690747380256653, f1 0.43,  prec 0.588, rec 0.339
TRAINING - Epoch 68 Batch 10: loss 0.025287669152021408, f1 0.185,  prec 0.893, rec 0.103
TRAINING - Epoch 68 Batch 20: loss 0.02847813442349434, f1 0.394,  prec 0.75, rec 0.267
TRAINING - Epoch 68 Batch 30: loss 0.02484838105738163, f1 0.409,  prec 0.67, rec 0.294
TRAINING - Epoch 68 Batch 40: loss 0.02278829924762249, f1 0.327,  prec 0.776, rec 0.207
TRAINING - Epoch 68 Batch 50: loss 0.02465912513434887, f1 0.227,  prec 0.567, rec 0.142
VALIDATION - Epoch 68 Batch 0: loss 0.02549494244158268, f1 0.401, prec 0.576, rec 0.308
VALIDATION - Epoch 68 Batch 10: loss 0.026075001806020737, f1 0.454, prec 0.618, rec 0.359
VALIDATION - Epoch 68 Batch 20: loss 0.026346901431679726, f1 0.413, prec 0.571, rec 0.323
TRAINING - Epoch 69 Batch 0: loss 0.023706110194325447, f1 0.464,  prec 0.687, rec 0.351
TRAINING - Epoch 69 Batch 10: loss 0.026672495529055595, f1 0.2,  prec 0.75, rec 0.115
TRAINING - Epoch 69 Batch 20: loss 0.025374742224812508, f1 0.351,  prec 0.653, rec 0.24
TRAINING - Epoch 69 Batch 30: loss 0.02475227788090706, f1 0.381,  prec 0.66, rec 0.268
TRAINING - Epoch 69 Batch 40: loss 0.027282610535621643, f1 0.421,  prec 0.611, rec 0.322
TRAINING - Epoch 69 Batch 50: loss 0.024398796260356903, f1 0.333,  prec 0.663, rec 0.223
VALIDATION - Epoch 69 Batch 0: loss 0.027883144095540047, f1 0.148, prec 0.852, rec 0.081
VALIDATION - Epoch 69 Batch 10: loss 0.03132535144686699, f1 0.144, prec 0.8, rec 0.079
VALIDATION - Epoch 69 Batch 20: loss 0.027592526748776436, f1 0.162, prec 0.852, rec 0.089
TRAINING - Epoch 70 Batch 0: loss 0.023913081735372543, f1 0.214,  prec 0.667, rec 0.128
TRAINING - Epoch 70 Batch 10: loss 0.02413616143167019, f1 0.446,  prec 0.642, rec 0.341
TRAINING - Epoch 70 Batch 20: loss 0.022827813401818275, f1 0.353,  prec 0.711, rec 0.235
TRAINING - Epoch 70 Batch 30: loss 0.023347537964582443, f1 0.3,  prec 0.807, rec 0.184
TRAINING - Epoch 70 Batch 40: loss 0.022347310557961464, f1 0.356,  prec 0.614, rec 0.251
TRAINING - Epoch 70 Batch 50: loss 0.02578681893646717, f1 0.31,  prec 0.831, rec 0.191
VALIDATION - Epoch 70 Batch 0: loss 0.025667766109108925, f1 0.212, prec 0.62, rec 0.128
VALIDATION - Epoch 70 Batch 10: loss 0.023942848667502403, f1 0.284, prec 0.687, rec 0.179
VALIDATION - Epoch 70 Batch 20: loss 0.025688940659165382, f1 0.317, prec 0.79, rec 0.198
TRAINING - Epoch 71 Batch 0: loss 0.02424866519868374, f1 0.232,  prec 0.673, rec 0.14
TRAINING - Epoch 71 Batch 10: loss 0.024335043504834175, f1 0.213,  prec 0.8, rec 0.123
TRAINING - Epoch 71 Batch 20: loss 0.02486964873969555, f1 0.389,  prec 0.69, rec 0.271
TRAINING - Epoch 71 Batch 30: loss 0.022188937291502953, f1 0.203,  prec 0.839, rec 0.116
TRAINING - Epoch 71 Batch 40: loss 0.024623436853289604, f1 0.362,  prec 0.812, rec 0.233
TRAINING - Epoch 71 Batch 50: loss 0.023837443441152573, f1 0.432,  prec 0.631, rec 0.328
VALIDATION - Epoch 71 Batch 0: loss 0.029464390128850937, f1 0.331, prec 0.739, rec 0.213
VALIDATION - Epoch 71 Batch 10: loss 0.024886097759008408, f1 0.306, prec 0.649, rec 0.2
VALIDATION - Epoch 71 Batch 20: loss 0.025975560769438744, f1 0.35, prec 0.709, rec 0.232
TRAINING - Epoch 72 Batch 0: loss 0.024814190343022346, f1 0.342,  prec 0.602, rec 0.239
TRAINING - Epoch 72 Batch 10: loss 0.024646079167723656, f1 0.271,  prec 0.792, rec 0.163
TRAINING - Epoch 72 Batch 20: loss 0.024228859692811966, f1 0.313,  prec 0.823, rec 0.193
TRAINING - Epoch 72 Batch 30: loss 0.024241425096988678, f1 0.444,  prec 0.766, rec 0.313
TRAINING - Epoch 72 Batch 40: loss 0.023779766634106636, f1 0.351,  prec 0.659, rec 0.239
TRAINING - Epoch 72 Batch 50: loss 0.02406071312725544, f1 0.394,  prec 0.795, rec 0.262
VALIDATION - Epoch 72 Batch 0: loss 0.024633200839161873, f1 0.377, prec 0.685, rec 0.26
VALIDATION - Epoch 72 Batch 10: loss 0.021738244220614433, f1 0.404, prec 0.716, rec 0.281
VALIDATION - Epoch 72 Batch 20: loss 0.024089116603136063, f1 0.346, prec 0.716, rec 0.228
TRAINING - Epoch 73 Batch 0: loss 0.024353621527552605, f1 0.369,  prec 0.702, rec 0.25
TRAINING - Epoch 73 Batch 10: loss 0.024812940508127213, f1 0.277,  prec 0.707, rec 0.172
TRAINING - Epoch 73 Batch 20: loss 0.02197093330323696, f1 0.403,  prec 0.76, rec 0.274
TRAINING - Epoch 73 Batch 30: loss 0.02711113542318344, f1 0.346,  prec 0.695, rec 0.231
TRAINING - Epoch 73 Batch 40: loss 0.02518857829272747, f1 0.391,  prec 0.689, rec 0.273
TRAINING - Epoch 73 Batch 50: loss 0.02327241376042366, f1 0.279,  prec 0.759, rec 0.171
VALIDATION - Epoch 73 Batch 0: loss 0.023998355492949486, f1 0.393, prec 0.698, rec 0.273
VALIDATION - Epoch 73 Batch 10: loss 0.026064878329634666, f1 0.33, prec 0.61, rec 0.226
VALIDATION - Epoch 73 Batch 20: loss 0.024528371170163155, f1 0.398, prec 0.699, rec 0.278
TRAINING - Epoch 74 Batch 0: loss 0.024184124544262886, f1 0.391,  prec 0.667, rec 0.276
TRAINING - Epoch 74 Batch 10: loss 0.024891328066587448, f1 0.409,  prec 0.659, rec 0.297
TRAINING - Epoch 74 Batch 20: loss 0.022633906453847885, f1 0.274,  prec 0.792, rec 0.166
TRAINING - Epoch 74 Batch 30: loss 0.023285305127501488, f1 0.379,  prec 0.72, rec 0.257
TRAINING - Epoch 74 Batch 40: loss 0.023083891719579697, f1 0.431,  prec 0.626, rec 0.329
TRAINING - Epoch 74 Batch 50: loss 0.026877596974372864, f1 0.203,  prec 0.882, rec 0.115
VALIDATION - Epoch 74 Batch 0: loss 0.023324469104409218, f1 0.337, prec 0.684, rec 0.223
VALIDATION - Epoch 74 Batch 10: loss 0.024076828733086586, f1 0.33, prec 0.709, rec 0.215
VALIDATION - Epoch 74 Batch 20: loss 0.02531873807311058, f1 0.347, prec 0.689, rec 0.232
TRAINING - Epoch 75 Batch 0: loss 0.023215068504214287, f1 0.373,  prec 0.66, rec 0.26
TRAINING - Epoch 75 Batch 10: loss 0.025375252589583397, f1 0.357,  prec 0.642, rec 0.247
TRAINING - Epoch 75 Batch 20: loss 0.022260792553424835, f1 0.46,  prec 0.61, rec 0.369
TRAINING - Epoch 75 Batch 30: loss 0.02245398424565792, f1 0.435,  prec 0.713, rec 0.313
TRAINING - Epoch 75 Batch 40: loss 0.02411050908267498, f1 0.201,  prec 0.844, rec 0.114
TRAINING - Epoch 75 Batch 50: loss 0.022113298997282982, f1 0.353,  prec 0.724, rec 0.233
VALIDATION - Epoch 75 Batch 0: loss 0.02498197741806507, f1 0.304, prec 0.862, rec 0.185
VALIDATION - Epoch 75 Batch 10: loss 0.025839632377028465, f1 0.307, prec 0.764, rec 0.192
VALIDATION - Epoch 75 Batch 20: loss 0.025010578334331512, f1 0.267, prec 0.745, rec 0.163
TRAINING - Epoch 76 Batch 0: loss 0.025701293721795082, f1 0.289,  prec 0.85, rec 0.174
TRAINING - Epoch 76 Batch 10: loss 0.022883327677845955, f1 0.425,  prec 0.771, rec 0.294
TRAINING - Epoch 76 Batch 20: loss 0.028348859399557114, f1 0.405,  prec 0.518, rec 0.332
TRAINING - Epoch 76 Batch 30: loss 0.025497110560536385, f1 0.349,  prec 0.692, rec 0.233
TRAINING - Epoch 76 Batch 40: loss 0.02488092891871929, f1 0.309,  prec 0.742, rec 0.195
TRAINING - Epoch 76 Batch 50: loss 0.02184399589896202, f1 0.289,  prec 0.694, rec 0.182
VALIDATION - Epoch 76 Batch 0: loss 0.02511768788099289, f1 0.322, prec 0.732, rec 0.206
VALIDATION - Epoch 76 Batch 10: loss 0.025388922542333603, f1 0.223, prec 0.767, rec 0.13
VALIDATION - Epoch 76 Batch 20: loss 0.025282422080636024, f1 0.358, prec 0.871, rec 0.225
TRAINING - Epoch 77 Batch 0: loss 0.024265971034765244, f1 0.357,  prec 0.811, rec 0.229
TRAINING - Epoch 77 Batch 10: loss 0.02467069961130619, f1 0.366,  prec 0.741, rec 0.243
TRAINING - Epoch 77 Batch 20: loss 0.024659844115376472, f1 0.441,  prec 0.692, rec 0.324
TRAINING - Epoch 77 Batch 30: loss 0.025636697188019753, f1 0.121,  prec 0.842, rec 0.065
TRAINING - Epoch 77 Batch 40: loss 0.026830680668354034, f1 0.349,  prec 0.542, rec 0.257
TRAINING - Epoch 77 Batch 50: loss 0.02548292838037014, f1 0.238,  prec 0.833, rec 0.139
VALIDATION - Epoch 77 Batch 0: loss 0.025756744667887688, f1 0.444, prec 0.575, rec 0.362
VALIDATION - Epoch 77 Batch 10: loss 0.02510271780192852, f1 0.463, prec 0.615, rec 0.371
VALIDATION - Epoch 77 Batch 20: loss 0.026369057595729828, f1 0.481, prec 0.557, rec 0.424
TRAINING - Epoch 78 Batch 0: loss 0.02523263357579708, f1 0.506,  prec 0.64, rec 0.418
TRAINING - Epoch 78 Batch 10: loss 0.02162700518965721, f1 0.37,  prec 0.833, rec 0.238
TRAINING - Epoch 78 Batch 20: loss 0.025451457127928734, f1 0.155,  prec 0.96, rec 0.085
TRAINING - Epoch 78 Batch 30: loss 0.0223012063652277, f1 0.387,  prec 0.722, rec 0.264
TRAINING - Epoch 78 Batch 40: loss 0.024330880492925644, f1 0.448,  prec 0.674, rec 0.336
TRAINING - Epoch 78 Batch 50: loss 0.025829466059803963, f1 0.342,  prec 0.721, rec 0.224
VALIDATION - Epoch 78 Batch 0: loss 0.025516469031572342, f1 0.286, prec 0.797, rec 0.174
VALIDATION - Epoch 78 Batch 10: loss 0.026554401963949203, f1 0.282, prec 0.823, rec 0.17
VALIDATION - Epoch 78 Batch 20: loss 0.02648843638598919, f1 0.219, prec 0.667, rec 0.131
TRAINING - Epoch 79 Batch 0: loss 0.01976068876683712, f1 0.338,  prec 0.763, rec 0.217
TRAINING - Epoch 79 Batch 10: loss 0.023073989897966385, f1 0.463,  prec 0.744, rec 0.336
TRAINING - Epoch 79 Batch 20: loss 0.022234538570046425, f1 0.434,  prec 0.598, rec 0.341
TRAINING - Epoch 79 Batch 30: loss 0.022648049518465996, f1 0.362,  prec 0.699, rec 0.244
TRAINING - Epoch 79 Batch 40: loss 0.023702222853899002, f1 0.334,  prec 0.8, rec 0.211
TRAINING - Epoch 79 Batch 50: loss 0.02490266039967537, f1 0.217,  prec 0.721, rec 0.128
VALIDATION - Epoch 79 Batch 0: loss 0.02551240846514702, f1 0.289, prec 0.9, rec 0.172
VALIDATION - Epoch 79 Batch 10: loss 0.02825813740491867, f1 0.236, prec 0.774, rec 0.139
VALIDATION - Epoch 79 Batch 20: loss 0.026693131774663925, f1 0.237, prec 0.804, rec 0.139
TRAINING - Epoch 80 Batch 0: loss 0.023245085030794144, f1 0.263,  prec 0.851, rec 0.156
TRAINING - Epoch 80 Batch 10: loss 0.024027101695537567, f1 0.442,  prec 0.654, rec 0.333
TRAINING - Epoch 80 Batch 20: loss 0.021138694137334824, f1 0.435,  prec 0.794, rec 0.3
TRAINING - Epoch 80 Batch 30: loss 0.024224331602454185, f1 0.251,  prec 0.95, rec 0.144
TRAINING - Epoch 80 Batch 40: loss 0.023043448105454445, f1 0.367,  prec 0.693, rec 0.25
TRAINING - Epoch 80 Batch 50: loss 0.020036881789565086, f1 0.453,  prec 0.788, rec 0.318
VALIDATION - Epoch 80 Batch 0: loss 0.02472621574997902, f1 0.447, prec 0.736, rec 0.321
VALIDATION - Epoch 80 Batch 10: loss 0.023673292249441147, f1 0.371, prec 0.596, rec 0.269
VALIDATION - Epoch 80 Batch 20: loss 0.025090141221880913, f1 0.325, prec 0.593, rec 0.224
TRAINING - Epoch 81 Batch 0: loss 0.02322525717318058, f1 0.437,  prec 0.721, rec 0.314
TRAINING - Epoch 81 Batch 10: loss 0.023061348125338554, f1 0.406,  prec 0.723, rec 0.282
TRAINING - Epoch 81 Batch 20: loss 0.02361905761063099, f1 0.321,  prec 0.847, rec 0.198
TRAINING - Epoch 81 Batch 30: loss 0.023421434685587883, f1 0.265,  prec 0.684, rec 0.165
TRAINING - Epoch 81 Batch 40: loss 0.023327643051743507, f1 0.392,  prec 0.723, rec 0.269
TRAINING - Epoch 81 Batch 50: loss 0.02473660185933113, f1 0.361,  prec 0.627, rec 0.253
VALIDATION - Epoch 81 Batch 0: loss 0.023416753858327866, f1 0.356, prec 0.701, rec 0.238
VALIDATION - Epoch 81 Batch 10: loss 0.02453192137181759, f1 0.359, prec 0.721, rec 0.239
VALIDATION - Epoch 81 Batch 20: loss 0.023494146764278412, f1 0.427, prec 0.837, rec 0.286
TRAINING - Epoch 82 Batch 0: loss 0.024528244510293007, f1 0.3,  prec 0.643, rec 0.196
TRAINING - Epoch 82 Batch 10: loss 0.023973090574145317, f1 0.532,  prec 0.669, rec 0.442
TRAINING - Epoch 82 Batch 20: loss 0.021590586751699448, f1 0.389,  prec 0.584, rec 0.292
TRAINING - Epoch 82 Batch 30: loss 0.026000959798693657, f1 0.399,  prec 0.673, rec 0.284
TRAINING - Epoch 82 Batch 40: loss 0.025111768394708633, f1 0.223,  prec 0.829, rec 0.129
TRAINING - Epoch 82 Batch 50: loss 0.0250279288738966, f1 0.461,  prec 0.556, rec 0.394
VALIDATION - Epoch 82 Batch 0: loss 0.029065337032079697, f1 0.244, prec 0.721, rec 0.147
VALIDATION - Epoch 82 Batch 10: loss 0.024942079558968544, f1 0.329, prec 0.778, rec 0.209
VALIDATION - Epoch 82 Batch 20: loss 0.02675122208893299, f1 0.228, prec 0.778, rec 0.134
TRAINING - Epoch 83 Batch 0: loss 0.022914854809641838, f1 0.381,  prec 0.803, rec 0.25
TRAINING - Epoch 83 Batch 10: loss 0.02439996227622032, f1 0.471,  prec 0.599, rec 0.388
TRAINING - Epoch 83 Batch 20: loss 0.024517275393009186, f1 0.38,  prec 0.758, rec 0.254
TRAINING - Epoch 83 Batch 30: loss 0.02301991917192936, f1 0.41,  prec 0.726, rec 0.286
TRAINING - Epoch 83 Batch 40: loss 0.019614502787590027, f1 0.392,  prec 0.862, rec 0.253
TRAINING - Epoch 83 Batch 50: loss 0.028881395235657692, f1 0.022,  prec 1.0, rec 0.011
VALIDATION - Epoch 83 Batch 0: loss 0.026355942711234093, f1 0.33, prec 0.824, rec 0.207
VALIDATION - Epoch 83 Batch 10: loss 0.02534547634422779, f1 0.299, prec 0.662, rec 0.193
VALIDATION - Epoch 83 Batch 20: loss 0.025611350312829018, f1 0.318, prec 0.765, rec 0.201
TRAINING - Epoch 84 Batch 0: loss 0.024560661986470222, f1 0.346,  prec 0.72, rec 0.228
TRAINING - Epoch 84 Batch 10: loss 0.022945251315832138, f1 0.293,  prec 0.746, rec 0.183
TRAINING - Epoch 84 Batch 20: loss 0.020457766950130463, f1 0.455,  prec 0.709, rec 0.335
TRAINING - Epoch 84 Batch 30: loss 0.025283100083470345, f1 0.316,  prec 0.809, rec 0.196
TRAINING - Epoch 84 Batch 40: loss 0.02351940982043743, f1 0.302,  prec 0.62, rec 0.2
TRAINING - Epoch 84 Batch 50: loss 0.021580474451184273, f1 0.367,  prec 0.693, rec 0.25
VALIDATION - Epoch 84 Batch 0: loss 0.02516760490834713, f1 0.354, prec 0.693, rec 0.237
VALIDATION - Epoch 84 Batch 10: loss 0.02379094436764717, f1 0.319, prec 0.73, rec 0.204
VALIDATION - Epoch 84 Batch 20: loss 0.027285970747470856, f1 0.32, prec 0.728, rec 0.205
TRAINING - Epoch 85 Batch 0: loss 0.023717690259218216, f1 0.38,  prec 0.691, rec 0.262
TRAINING - Epoch 85 Batch 10: loss 0.022858403623104095, f1 0.436,  prec 0.696, rec 0.318
TRAINING - Epoch 85 Batch 20: loss 0.02212161011993885, f1 0.489,  prec 0.601, rec 0.412
TRAINING - Epoch 85 Batch 30: loss 0.025241607800126076, f1 0.349,  prec 0.705, rec 0.232
TRAINING - Epoch 85 Batch 40: loss 0.023297255858778954, f1 0.451,  prec 0.669, rec 0.34
TRAINING - Epoch 85 Batch 50: loss 0.021070973947644234, f1 0.345,  prec 0.746, rec 0.225
VALIDATION - Epoch 85 Batch 0: loss 0.028107240796089172, f1 0.299, prec 0.859, rec 0.181
VALIDATION - Epoch 85 Batch 10: loss 0.026225486770272255, f1 0.329, prec 0.831, rec 0.205
VALIDATION - Epoch 85 Batch 20: loss 0.02391771413385868, f1 0.316, prec 0.787, rec 0.198
TRAINING - Epoch 86 Batch 0: loss 0.025683263316750526, f1 0.359,  prec 0.844, rec 0.228
TRAINING - Epoch 86 Batch 10: loss 0.023073209449648857, f1 0.471,  prec 0.632, rec 0.375
TRAINING - Epoch 86 Batch 20: loss 0.02420111745595932, f1 0.299,  prec 0.806, rec 0.183
TRAINING - Epoch 86 Batch 30: loss 0.022905508056282997, f1 0.354,  prec 0.632, rec 0.246
TRAINING - Epoch 86 Batch 40: loss 0.026219943538308144, f1 0.259,  prec 0.854, rec 0.152
TRAINING - Epoch 86 Batch 50: loss 0.0244925357401371, f1 0.423,  prec 0.506, rec 0.364
VALIDATION - Epoch 86 Batch 0: loss 0.02654731087386608, f1 0.353, prec 0.747, rec 0.231
VALIDATION - Epoch 86 Batch 10: loss 0.02611476369202137, f1 0.338, prec 0.656, rec 0.228
VALIDATION - Epoch 86 Batch 20: loss 0.02330978587269783, f1 0.349, prec 0.764, rec 0.226
TRAINING - Epoch 87 Batch 0: loss 0.025937052443623543, f1 0.344,  prec 0.67, rec 0.232
TRAINING - Epoch 87 Batch 10: loss 0.022521354258060455, f1 0.34,  prec 0.671, rec 0.227
TRAINING - Epoch 87 Batch 20: loss 0.022288214415311813, f1 0.168,  prec 0.864, rec 0.093
TRAINING - Epoch 87 Batch 30: loss 0.01970284804701805, f1 0.425,  prec 0.667, rec 0.312
TRAINING - Epoch 87 Batch 40: loss 0.02206365019083023, f1 0.392,  prec 0.713, rec 0.271
TRAINING - Epoch 87 Batch 50: loss 0.024641485884785652, f1 0.372,  prec 0.758, rec 0.247
VALIDATION - Epoch 87 Batch 0: loss 0.026105191558599472, f1 0.403, prec 0.79, rec 0.271
VALIDATION - Epoch 87 Batch 10: loss 0.029573429375886917, f1 0.207, prec 0.694, rec 0.121
VALIDATION - Epoch 87 Batch 20: loss 0.023621533066034317, f1 0.31, prec 0.773, rec 0.194
TRAINING - Epoch 88 Batch 0: loss 0.025877680629491806, f1 0.375,  prec 0.828, rec 0.242
TRAINING - Epoch 88 Batch 10: loss 0.022685958072543144, f1 0.28,  prec 0.612, rec 0.181
TRAINING - Epoch 88 Batch 20: loss 0.022014956921339035, f1 0.357,  prec 0.723, rec 0.237
